Battle Date,Time remaining,,,Result,Stars,Star Gain,XP,,Result,Stars,Star Gain
8/27/2015,13:06,17,oppo_21,6%,0,0,0,14,Defended,,
8/27/2015,13:30,16,Maza123,Defeat,,,,7,100%,3,3
8/27/2015,14:55,6,Mary Grace,100%,3,3,4,9,Defeat,,
8/27/2015,15:34,11,kewal,100%,3,0,0,14,Defeat,,
8/27/2015,15:58,11,Kewal,30%,0,0,0,11,Defended,,
8/27/2015,16:07,4,Thanatos,100%,3,3,4,6,Defeat,,
8/27/2015,17:34,2,dddddd,100%,3,3,5,2,Defeat,,
8/27/2015,17:49,7,Alabaster,100%,3,3,4,10,Defeat,,
8/27/2015,18:24,9,Makara,100%,3,3,4,11,Defeat,,
8/27/2015,18:47,4,Thanatos,100%,3,3,5,5,Defeat,,
8/27/2015,20:45,5,oppo_21,Defended,,,,3,37%,0,0
8/27/2015,20:49,14,Isa_Kalvari,52%,1,1,3,18,Defeat,,
8/27/2015,20:55,8,bbbbbb,100%,3,3,4,8,Defeat,,
8/27/2015,21:52,17,oppo_21,Defended,,,,11,11%,0,0
8/27/2015,21:54,12,ayu,100%,3,3,3,20,Defeat,,
8/27/2015,21:56,23,etdjtk,Defended,,,,11,0%,0,0
8/27/2015,22:17,12,ayu,100%,3,3,3,21,Defeat,,
8/27/2015,22:21,15,souyhour,79%,1,1,3,19,Defeat,,
8/27/2015,23:34,6,Mary Grace,Defeat,,,,1,100%,3,3
8/27/2015,23:35,25,Messi-10-11,Defeat,,,,21,62%,2,2
8/27/2015,23:38,24,Clan Concerour,Defeat,,,,21,58%,2,2
8/27/2015,1:00:00,10,dimple,100%,3,3,4,14,Defeat,,
8/27/2015,1:00:33,10,dimple,100%,3,3,4,13,Defeat,,
8/27/2015,1:00:35,1,Magna,100%,3,3,5,3,Defeat,,
8/27/2015,1:00:52,18,centries,100%,3,3,3,22,Defeat,,
8/27/2015,1:00:55,18,centries,100%,3,3,3,23,Defeat,,
8/27/2015,1:00:58,9,Makara,16%,0,0,0,12,Defended,,
8/30/2015,0:10,1,Magna,100%,3,3,2,35,Defeat,,
8/30/2015,0:14,17,Penwing,100%,3,3,2,27,Defeat,,
8/30/2015,0:29,25,Maza123,Defended,,,,11,36%,0,0
8/30/2015,0:33,23,Isa_Kalvari,100%,3,3,3,25,Defeat,,
8/30/2015,0:37,17,Penwing,100%,3,3,3,22,Defeat,,
8/30/2015,0:41,22,ttttht,100%,3,3,2,26,Defeat,,
8/30/2015,0:43,3,dddddd,49%,0,0,0,2,Defended,,
8/30/2015,0:54,4,Go Nudi,100%,3,3,4,8,Defeat,,
8/30/2015,0:58,1,Magna,65%,1,1,5,3,Defeat,,
8/30/2015,1:04,25,Maza123,100%,3,3,2,29,Defeat,,
8/30/2015,1:04,22,ttttht,100%,3,3,3,24,Defeat,,
8/30/2015,1:25,24,Oppo_21,100%,3,2,0,17,Defeat,,
8/30/2015,1:33,11,bbbbbb,100%,3,3,3,19,Defeat,,
8/30/2015,1:43,8,Oppo_21,100%,3,3,5,5,Defeat,,
8/30/2015,1:46,28,centries,100%,3,3,2,31,Defeat,,
8/30/2015,1:49,36,alexa,50%,2,2,2,39,Defeat,,
8/30/2015,1:52,28,centries,100%,3,3,2,30,Defeat,,
8/30/2015,2:52,24,Oppo_21,Defended,,,,15,27%,0,0
8/30/2015,2:57,24,Oppo_21,100%,3,0,0,18,Defeat,,
8/30/2015,3:30,33,etdjtk,Defended,,,,33,0%,0,0
8/30/2015,4:19,10,Alabaster,100%,3,3,3,16,Defeat,,
8/30/2015,4:33,4,Go Nudi,100%,3,3,4,6,Defeat,,
8/30/2015,6:03,11,bbbbbb,100%,3,3,4,14,Defeat,,
8/30/2015,6:25,16,Kewal,84%,1,0,0,18,Defeat,,
8/30/2015,8:12,38,jimmy,Defeat,,,,19,100%,3,2
8/30/2015,8:28,10,Alabaster,100%,3,3,4,13,Defeat,,
8/30/2015,9:33,36,alexa,Defended,,,,27,0%,0,0
8/30/2015,9:38,38,jimmy,Defended,,,,27,5%,0,0
8/30/2015,10:05,34,The_Champ,Defeat,,,,19,100%,3,3
8/30/2015,10:40,33,etdjtk,Defended,,,,18,48%,0,0
8/30/2015,10:57,20,ayu,100%,3,3,3,21,Defeat,,
8/30/2015,11:18,20,ayu,97%,2,2,3,20,Defeat,,
8/30/2015,12:08,9,Mary Grace,100%,3,3,4,11,Defeat,,
8/30/2015,12:19,3,dddddd,100%,3,3,5,4,Defeat,,
8/30/2015,13:56,8,Oppo_21,100%,3,3,4,9,Defeat,,
8/30/2015,15:12,18,souyhour,48%,0,0,0,24,Defended,,
8/30/2015,15:15,18,souyhour,100%,3,3,3,23,Defeat,,
8/30/2015,15:15,7,Thanatos,100%,3,3,4,7,Defeat,,
8/30/2015,15:53,36,alexa,44%,0,0,0,40,Defended,,
8/30/2015,16:14,9,Mary Grace,100%,3,3,4,12,Defeat,,
8/30/2015,16:38,12,Makara,0%,0,0,0,16,Defended,,
8/30/2015,17:02,12,Makara,59%,1,1,3,17,Defeat,,
8/30/2015,18:31,7,Thanatos,100%,3,3,4,10,Defeat,,
8/30/2015,18:37,34,The_Champ,Defended,,,,18,5%,0,0
8/30/2015,19:07,7,Thanatos,Defeat,,,,4,39%,1,1
8/30/2015,21:17,7,Thanatos,Defended,,,,6,0%,0,0
8/30/2015,21:30,34,The_Champ,100%,3,3,2,34,Defeat,,
8/30/2015,21:35,37,"Den,s fikri 194",Defeat,,,,14,100%,3,3
8/30/2015,21:42,34,The_Champ,100%,3,3,2,33,Defeat,,
8/30/2015,21:44,32,อาบีดิง,Defeat,,,,14,52%,1,1
8/30/2015,21:45,38,jimmy,Defeat,,,,37,34%,1,1
8/30/2015,21:46,25,Maza123,100%,3,3,2,32,Defeat,,
8/30/2015,21:58,37,"Den,s fikri 194",Defended,,,,37,8%,0,0
8/30/2015,22:00,8,Oppo_21,Defeat,,,,4,60%,2,2
8/30/2015,22:04,4,Go Nudi,Defeat,,,,3,68%,1,1
8/30/2015,22:10,29,Alphaalpha eigh,Defeat,,,,10,100%,3,3
8/30/2015,22:37,39,field luke,Defeat,,,,12,100%,3,3
8/30/2015,22:38,40,Messi-10-11,Defeat,,,,12,100%,3,3
8/30/2015,23:03,15,dimple,100%,3,3,3,18,Defeat,,
8/30/2015,23:06,15,dimple,0%,0,0,0,19,Defended,,
8/30/2015,23:32,6,aiden,Defended,,,,6,25%,0,0
8/30/2015,23:52,16,Kewal,53%,1,1,4,15,Defeat,,
8/30/2015,23:53,23,Isa_Kalvari,100%,3,3,2,28,Defeat,,
8/30/2015,23:56,30,cam,Defeat,,,,10,100%,3,3
8/30/2015,23:56,2,Captain Ward,Defeat,,,,3,45%,1,1
9/3/2015,0:11,6,Alabaster,18%,0,0,0,2,Defended,,
9/3/2015,1:19,3,Go Nudi,100%,3,1,0,3,Defeat,,
9/3/2015,1:31,6,Alabaster,100%,3,2,0,11,Defeat,,
9/3/2015,1:31,2,dddddd,100%,3,3,5,5,Defeat,,
9/3/2015,1:55,1,Magna,66%,2,1,0,2,Defeat,,
9/3/2015,2:33,15,Isa_Kalvari,29%,0,0,0,11,Defended,,
9/3/2015,4:15,1,Magna,69%,1,1,5,1,Defeat,,
9/3/2015,4:35,3,Go Nudi,100%,3,3,4,6,Defeat,,
9/3/2015,5:19,10,Penwing,100%,3,2,0,17,Defeat,,
9/3/2015,7:53,2,dddddd,Defended,,,,1,40%,0,0
9/3/2015,9:36,9,dimple,Defeat,,,,3,100%,3,3
9/3/2015,10:00,2,dddddd,83%,1,1,5,2,Defeat,,
9/3/2015,10:17,7,bbbbbb,100%,3,2,0,9,Defeat,,
9/3/2015,11:18,10,Penwing,100%,3,2,0,16,Defeat,,
9/3/2015,12:18,14,oppo_21,78%,1,1,4,11,Defeat,,
9/3/2015,12:26,15,Isa_Kalvari,55%,1,1,3,17,Defeat,,
9/3/2015,13:06,3,Go Nudi,Defeat,,,,1,56%,1,1
9/3/2015,13:13,4,oppo_21,82%,2,2,5,3,Defeat,,
9/3/2015,13:26,18,The_Champ,Defended,,,,11,41%,0,0
9/3/2015,14:03,17,centries,18%,0,0,0,16,Defended,,
9/3/2015,14:09,17,centries,0%,0,0,0,17,Defended,,
9/3/2015,14:14,5,Mary Grace,100%,3,3,4,10,Defeat,,
9/3/2015,15:18,7,bbbbbb,Defeat,,,,5,60%,1,1
9/3/2015,16:38,11,Kewal,65%,2,0,0,14,Defeat,,
9/3/2015,16:59,13,Ayu,Defeat,,,,12,66%,2,2
9/3/2015,17:48,20,Max Jaxer,100%,3,3,3,19,Defeat,,
9/3/2015,10:00,6,Alabaster,Defeat,,,,5,58%,1,1
9/3/2015,19:02,11,Kewal,3%,0,0,0,13,Defended,,
9/3/2015,19:10,19,alexa,Defended,,,,16,5%,0,0
9/3/2015,19:26,5,Mary Grace,100%,3,3,4,7,Defeat,,
9/3/2015,19:29,16,Flaming Phoenix,Defended,,,,16,4%,0,0
9/3/2015,20:51,12,souyhour,53%,2,0,0,13,Defeat,,
9/3/2015,21:35,12,souyhour,100%,3,3,4,15,Defeat,,
9/3/2015,21:54,8,makara,100%,3,3,4,12,Defeat,,
9/3/2015,22:00,9,dimple,100%,3,3,4,13,Defeat,,
9/3/2015,22:02,4,oppo_21,Defeat,,,,3,56%,1,1
9/3/2015,22:25,5,Mary Grace,Defeat,,,,4,66%,2,2
9/3/2015,22:27,20,Max Jaxer,85%,1,1,3,16,Defeat,,
9/3/2015,23:00,7,bbbbbb,100%,3,3,4,8,Defeat,,
9/3/2015,23:23,4,oppo_21,100%,3,3,5,4,Defeat,,
9/3/2015,23:23,16,flaming Phoenix,100%,3,3,3,18,Defeat,,
9/3/2015,23:29,9,dimple,100%,3,3,4,14,Defeat,,
9/3/2015,23:44,14,oppo_21,66%,1,1,4,9,Defeat,,
9/3/2015,23:47,8,Makara,Defeat,,,,4,100%,3,3
9/3/2015,23:48,16,flaming Phoenix,100%,3,3,3,20,Defeat,,
9/3/2015,23:50,8,makara,18%,0,0,0,13,Defended,,
9/3/2015,23:54,16,flaming Phoenix,Defended,,,,11,4%,0,0
9/7/2015,0:33,4,dddddd,81%,1,1,4,6,Defeat,,
9/7/2015,0:51,10,Alabaster,57%,1,1,4,10,Defeat,,
9/7/2015,1:22,5,Go Nudi,100%,3,3,4,7,Defeat,,
9/7/2015,1:59,23,Centries,Defeat,,,,18,58%,1,1
9/7/2015,2:20,24,Max Jaxer,Defended,,,,18,29%,0,0
9/7/2015,4:04,1,Magna,98%,1,1,5,4,Defeat,,
9/7/2015,7:13,18,ayu,Defeat,,,,15,89%,2,2
9/7/2015,7:19,17,souyhour,100%,3,3,2,29,Defeat,,
9/7/2015,7:58,16,Penwing,11%,0,0,0,22,Defended,,
9/7/2015,8:31,4,dddddd,83%,2,2,5,5,Defeat,,
9/7/2015,8:37,15,kewal,Defended,,,,15,49%,0,0
9/7/2015,9:18,23,centries,18%,0,0,0,22,Defended,,
9/7/2015,9:22,23,centries,40%,0,0,0,29,Defended,,
9/7/2015,9:53,11,bbbbbb,30%,0,0,0,10,Defended,,
9/7/2015,10:06,20,oppo_21,Defeat,,,,14,86%,1,1
9/7/2015,10:33,5,Go Nudi,Defeat,,,,3,100%,3,3
9/7/2015,10:57,12,FaZe-wannabe,Defeat,,,,9,100%,3,3
9/7/2015,11:42,6,oppo_21,32%,0,0,0,4,Defended,,
9/7/2015,12:38,19,Isa_Kalvari,75%,2,2,3,25,Defeat,,
9/7/2015,14:25,15,Kewal,15%,0,0,0,20,Defended,,
9/7/2015,15:12,8,Mary Grace,100%,3,3,4,14,Defeat,,
9/7/2015,16:14,16,Penwing,Defeat,,,,13,95%,2,1
9/7/2015,17:00,2,Captain Ward,Defeat,,,,1,100%,3,3
9/7/2015,18:22,9,Makara,Defeat,,,,8,100%,3,3
9/7/2015,18:29,1,Magna,Defeat,,,,1,68%,1,1
9/7/2015,18:37,8,Mary Grace,Defeat,,,,7,100%,3,3
9/7/2015,18:46,19,Isa_Kalvari,24%,0,0,0,29,Defended,,
9/7/2015,19:01,8,Mary Grace,100%,3,3,4,11,Defeat,,
9/7/2015,19:09,3,Black Magic,Defeat,,,,3,51%,2,2
9/7/2015,19:15,28,Monstrosity,Defended,,,,30,26%,0,0
9/7/2015,19:26,7,aid,Defeat,,,,6,100%,3,3
9/7/2015,19:41,11,bbbbbb,100%,3,3,4,12,Defeat,,
9/7/2015,19:51,10,Alabaster,100%,3,3,4,13,Defeat,,
9/7/2015,19:52,24,Max Jaxer,Defended,,,,17,25%,0,0
9/7/2015,19:56,20,oppo_21,26%,0,0,0,16,Defended,,
9/7/2015,19:58,8,Mary Grace,Defended,,,,9,19%,0,0
9/7/2015,20:04,18,ayu,30%,0,0,0,25,Defended,,
9/7/2015,20:05,14,Javier,Defeat,,,,10,100%,3,3
9/7/2015,20:24,5,Go Nudi,Defended,,,,5,20%,0,0
9/7/2015,20:32,18,ayu,52%,1,1,3,24,Defeat,,
9/7/2015,20:38,22,nooberz,53%,1,1,2,28,Defeat,,
9/7/2015,20:46,20,oppo_21,100%,3,3,3,17,Defeat,,
9/7/2015,20:48,25,อาบีดิง,Defended,,,,24,0%,0,0
9/7/2015,21:01,28,Monstrosity,Defeat,,,,20,60%,1,0
9/7/2015,21:06,7,aid,Defended,,,,7,9%,0,0
9/7/2015,21:11,24,Max Jaxer,79%,1,1,3,23,Defeat,,
9/7/2015,21:13,6,oppo_21,100%,3,3,4,9,Defeat,,
9/7/2015,21:15,23,centries,Defended,,,,20,47%,0,0
9/7/2015,21:17,17,Souyhour,Defeat,,,,11,100%,3,3
9/7/2015,21:26,26,The_Champ,Defeat,,,,29,100%,3,2
9/7/2015,21:30,26,The_Champ,Defeat,,,,30,64%,1,1
9/7/2015,21:32,15,Kewal,Defeat,,,,12,55%,1,1
9/7/2015,21:34,6,oppo_21,Defeat,,,,6,100%,3,3
9/7/2015,21:36,14,Javier,Defended,,,,11,3%,0,0
9/7/2015,21:36,13,Dillon 21,Defeat,,,,10,100%,3,3
9/7/2015,21:43,11,bbbbbb,Defended,,,,8,42%,0,0
9/7/2015,21:49,7,aid,Defended,,,,5,41%,0,0
9/7/2015,21:52,5,Go Nudi,100%,3,3,4,8,Defeat,,
9/7/2015,21:53,24,Max Jaxer,100%,3,3,2,27,Defeat,,
9/7/2015,21:57,24,Max Jaxer,Defended,,,,16,22%,0,0
9/7/2015,22:01,28,Monstrosity,100%,3,3,2,26,Defeat,,
9/7/2015,22:13,28,Monstrosity,Defeat,,,,27,93%,2,2
9/7/2015,22:22,24,Max Jaxer,Defended,,,,25,29%,0,0
9/7/2015,22:22,29,alexa,Defeat,,,,29,100%,3,3
9/7/2015,22:27,28,Monstrosity,100%,3,2,0,30,Defeat,,
9/7/2015,22:28,17,Souyhour,Defended,,,,17,30%,0,0
9/7/2015,22:34,13,Dillon 21,Defended,,,,13,39%,0,0
9/7/2015,22:45,20,oppo_21,Defended,,,,23,0%,0,0
9/7/2015,22:47,30,jimmy,Defeat,,,,25,100%,3,3
9/7/2015,22:50,12,FaZe-wannabe,Defended,,,,12,32%,0,0
9/7/2015,22:53,23,centries,Defended,,,,23,15%,0,0
9/7/2015,22:54,9,Makara,60%,1,1,3,18,Defeat,,
9/7/2015,22:56,14,Javier,Defended,,,,14,32%,0,0
9/7/2015,23:04,21,jack,Defeat,,,,22,100%,3,2
9/7/2015,23:13,16,Penwing,Defeat,,,,16,59%,1,1
9/7/2015,23:23,22,nooberz,Defeat,,,,22,85%,2,2
9/7/2015,23:29,27,Henton,Defeat,,,,27,100%,3,3
9/7/2015,23:33,24,Max Jaxer,Defended,,,,24,0%,0,0
9/7/2015,23:38,25,อาบีดิง,Defeat,,,,21,100%,3,3
9/7/2015,23:48,15,Kewal,25%,0,0,0,17,Defended,,
9/7/2015,23:53,22,nooberz,69%,1,1,2,30,Defeat,,
9/7/2015,23:54,16,Penwing,58%,1,1,3,21,Defeat,,
9/7/2015,23:57,21,jack,Defeat,,,,21,53%,1,1
9/10/2015,0:50,2,dddddd,56%,1,0,0,2,Defeat,,
9/10/2015,1:01,3,Go Nudi,100%,3,3,4,15,Defeat,,
9/10/2015,1:55,16,centries,25%,0,0,0,15,Defended,,
9/10/2015,2:26,3,Go Nudi,100%,3,3,5,5,Defeat,,
9/10/2015,2:57,8,Alabaster,100%,3,3,4,13,Defeat,,
9/10/2015,3:46,11,Isa_Kalvari,17%,0,0,0,15,Defended,,
9/10/2015,7:25,10,Penwing,100%,3,2,0,19,Defeat,,
9/10/2015,9:50,5,bbbbbb,100%,3,3,4,7,Defeat,,
9/10/2015,11:03,1,Magna,100%,3,3,5,2,Defeat,,
9/10/2015,11:16,9,Kewal,Defeat,,,,7,100%,3,3
9/10/2015,11:41,2,dddddd,Defended,,,,1,37%,0,0
9/10/2015,11:58,7,Makara,Defeat,,,,7,59%,1,1
9/10/2015,12:06,12,ayu,31%,0,0,0,13,Defended,,
9/10/2015,12:35,2,dddddd,100%,3,3,5,3,Defeat,,
9/10/2015,12:36,5,bbbbbb,Defeat,,,,4,95%,1,1
9/10/2015,12:41,8,Alabaster,100%,3,3,4,12,Defeat,,
9/10/2015,13:00,11,Isa_Kalvari,26%,0,0,0,13,Defended,,
9/10/2015,14:14,4,oppo_21,100%,3,3,4,8,Defeat,,
9/10/2015,14:20,16,centries,Defeat,,,,15,100%,3,3
9/10/2015,14:22,10,Penwing,Defeat,,,,10,87%,2,2
9/10/2015,14:53,9,Kewal,100%,3,1,0,16,Defeat,,
9/10/2015,15:18,6,Mary Grace,100%,3,3,4,10,Defeat,,
9/10/2015,16:45,5,bbbbbb,100%,3,3,4,6,Defeat,,
9/10/2015,16:59,15,Max Jaxer,Defeat,,,,10,100%,3,3
9/10/2015,18:34,9,Kewal,46%,1,1,4,14,Defeat,,
9/10/2015,19:26,15,Max Jaxer,26%,0,0,0,14,Defended,,
9/10/2015,19:56,15,Max Jaxer,56%,1,0,0,19,Defeat,,
9/10/2015,20:23,12,ayu,Defeat,,,,15,83%,1,0
9/10/2015,20:33,6,Mary Grace,100%,3,3,4,9,Defeat,,
9/10/2015,20:33,1,Magna,100%,3,3,5,4,Defeat,,
9/10/2015,21:09,10,Penwing,97%,2,2,3,16,Defeat,,
9/10/2015,21:10,19,alexa,Defeat,,,,18,66%,1,1
9/10/2015,21:14,12,ayu,100%,3,3,3,18,Defeat,,
9/10/2015,21:33,13,oppo_21,Defeat,,,,12,98%,2,2
9/10/2015,21:47,6,Mary Grace,Defeat,,,,4,98%,2,2
9/10/2015,22:06,20,Jimmy,Defeat,,,,18,100%,3,3
9/10/2015,22:10,14,nooberz,Defeat,,,,11,74%,2,2
9/10/2015,22:15,17,Monstrosity,63%,1,1,3,19,Defeat,,
9/10/2015,22:22,14,nooberz,100%,3,3,3,17,Defeat,,
9/10/2015,22:25,10,Penwing,Defended,,,,9,0%,0,0
9/10/2015,22:26,18,Squirrel Nut Z.,30%,0,0,0,19,Defended,,
9/10/2015,22:34,12,ayu,Defeat,,,,12,63%,1,1
9/10/2015,22:40,17,Monstrosity,100%,3,2,0,20,Defeat,,
9/10/2015,22:56,1,Magna,Defeat,,,,1,52%,1,1
9/10/2015,22:58,12,ayu,Defended,,,,11,3%,0,0
9/10/2015,22:59,18,Squirrel Nut Z.,41%,0,0,0,20,Defended,,
9/10/2015,23:38,14,Nooberz,67%,1,1,3,20,Defeat,,
9/10/2015,23:51,7,Makara,100%,3,3,4,11,Defeat,,
9/10/2015,23:55,9,Kewal,Defended,,,,9,46%,0,0
9/14/2015,0:17,3,Go Nudi,100%,3,3,3,17,Defeat,,
9/14/2015,0:17,2,dddddd,41%,0,0,0,1,Defended,,
9/14/2015,1:50,22,Mouse,Defended,,,,13,18%,0,0
9/14/2015,2:36,10,Alabaster,100%,3,3,3,16,Defeat,,
9/14/2015,2:42,3,Go Nudi,71%,2,2,4,6,Defeat,,
9/14/2015,3:26,10,Alabaster,100%,3,2,0,12,Defeat,,
9/14/2015,5:08,1,Magna,79%,1,1,5,2,Defeat,,
9/14/2015,5:32,6,Thanatos,Defeat,,,,1,90%,2,2
9/14/2015,5:47,8,Mary Grace,Defeat,,,,1,100%,3,3
9/14/2015,6:05,14,Souyhour,Defeat,,,,2,100%,3,3
9/14/2015,6:08,12,Javier,Defeat,,,,2,100%,3,3
9/14/2015,6:47,1,Magna,100%,3,2,0,4,Defeat,,
9/14/2015,7:41,12,Javier,Defended,,,,4,26%,0,0
9/14/2015,8:44,2,dddddd,100%,3,3,5,3,Defeat,,
9/14/2015,8:54,13,Penwing,42%,0,0,0,16,Defended,,
9/14/2015,10:06,31,YOYO,Defended,,,,29,0%,0,0
9/14/2015,10:12,29,Muis,Defended,,,,29,5%,0,0
9/14/2015,10:38,11,Kewal,63%,1,1,3,19,Defeat,,
9/14/2015,11:39,23,Centries,23%,0,0,0,19,Defended,,
9/14/2015,12:43,11,Kewal,42%,0,0,0,18,Defended,,
9/14/2015,12:50,19,blackman,Defeat,,,,8,32%,1,0
9/14/2015,12:55,7,bbbbbb,100%,3,3,4,14,Defeat,,
9/14/2015,13:07,32,MHd Yoda,3%,0,0,0,19,Defended,,
9/14/2015,13:14,19,blackman,Defended,,,,18,38%,0,0
9/14/2015,13:20,6,Thanatos,100%,3,3,4,15,Defeat,,
9/14/2015,13:25,16,Emirates,100%,3,3,2,30,Defeat,,
9/14/2015,13:28,6,Thanatos,100%,3,3,4,11,Defeat,,
9/14/2015,14:16,16,Emirates,Defeat,,,,17,61%,1,1
9/14/2015,14:38,20,Max Jaxer,100%,3,1,0,23,Defeat,,
9/14/2015,15:05,34,Lcy,Defeat,,,,3,100%,3,3
9/14/2015,15:08,35,kob-1 st clas,Defeat,,,,3,100%,3,3
9/14/2015,15:19,28,Mutia,19%,0,0,0,30,Defended,,
9/14/2015,15:20,26,Squirrel Nut Z.,48%,0,0,0,26,Defended,,
9/14/2015,15:26,22,Mouse,83%,1,1,3,24,Defeat,,
9/14/2015,15:27,11,Kewal,Defeat,,,,4,100%,3,3
9/14/2015,15:52,16,Emirates,Defended,,,,14,43%,0,0
9/14/2015,15:54,10,Alabaster,Defeat,,,,5,94%,1,1
9/14/2015,16:22,30,Ragnarok,100%,3,3,2,31,Defeat,,
9/14/2015,16:43,30,Ragnarok,100%,3,3,2,32,Defeat,,
9/14/2015,16:44,4,JJ BOSS,100%,3,3,5,5,Defeat,,
9/14/2015,16:50,8,Mary Grace,100%,3,3,4,9,Defeat,,
9/14/2015,16:51,7,bbbbbb,100%,3,3,4,8,Defeat,,
9/14/2015,17:09,21,Monstrosity,58%,2,2,3,23,Defeat,,
9/14/2015,17:11,28,Mutia,19%,0,0,0,32,Defended,,
9/14/2015,17:30,17,Nooberz,Defeat,,,,17,53%,1,1
9/14/2015,17:43,26,Squirrel Nut Z.,Defeat,,,,16,100%,3,3
9/14/2015,18:02,17,Nooberz,Defended,,,,14,24%,0,0
9/14/2015,18:21,24,k v e,Defended,,,,20,33%,0,0
9/14/2015,18:34,22,Mouse,Defended,,,,9,4%,0,0
9/14/2015,18:37,9,Makara,Defeat,,,,5,100%,3,3
9/14/2015,18:44,27,Thor Monster,Defended,,,,20,26%,0,0
9/14/2015,19:07,16,Emirates,Defended,,,,8,22%,0,0
9/14/2015,19:26,4,JJ BOSS,75%,1,1,5,4,Defeat,,
9/14/2015,19:35,17,Nooberz,28%,0,0,0,18,Defended,,
9/14/2015,19:39,29,Muis,8%,0,0,0,24,Defended,,
9/14/2015,19:42,28,Mutia,Defeat,,,,9,100%,3,3
